=== 월지별 조후 용신 취용법 ===
출처: 궁통보감(窮通寶鑑), 박청화 명리학 관점 기반
원칙: 월지는 계절 환경. 일간이 그 환경에서 생존하기 위해 필요한 것이 조후 용신.

형식: 월지 | 일간 | 계절환경 | 용신 | 희신 | 기신 | 이유 | 현대해석
卯월 | 庚 | 묘월 경금, 목이 많아 금 약해짐 | 丁(단련) | 甲 少 | 壬 乙(과다) | 경금 묘월에 정화 단련 절실 | 강한 목표 환경에서 단련을 통해 성장
卯월 | 辛 | 묘월 신금, 목기에 손상 | 壬(조후) | 丙 | 甲 乙(극신) | 신금 묘월에 목의 극 주의, 임수로 씻어 빛냄 | 창의적이고 섬세한 환경에서 강점 발현
卯월 | 壬 | 묘월 임수, 목 설기 심함 | 庚(생수) | 戊 丙 | 甲(설기) | 임수 묘월에 경금 생수, 무토 제방 보조 | 지원과 방향이 있어야 전략 실행 가능
卯월 | 癸 | 묘월 계수, 목 설기 | 辛(생수) | 丙 庚 | 甲(설기) | 계수 묘월에 신금 생수, 병화 조후 | 섬세한 직관이 빛나는 환경 필요

=== 辰月 (청명, 3월, 늦봄) ===
辰월 | 甲 | 진토 습토, 갑목 뿌리내리기 좋음 | 庚(소목) | 壬 丙 | 庚(과다) | 갑목 진월에 경금으로 다듬고 임수로 촉촉하게 | 체계적 단련 환경에서 리더십 발휘
辰월 | 乙 | 진월 을목, 토에 뿌리 | 癸(생목) | 丙 庚 | 戊(매목) | 을목 진월에 계수 비가 필요, 병화 햇살 | 꾸준한 지원 환경에서 성장
辰월 | 丙 | 진월 병화, 봄 끝자락 | 壬(조후) | 甲 庚 | 壬 癸(과다) | 병화 진월에 임수 조절 | 균형잡힌 환경에서 빛 발함
辰월 | 丁 | 진월 정화 | 甲(생화) | 庚 壬 | 壬 癸(과다) | 정화 진월에 갑목 생화, 경금 재성 | 지지 환경 + 성과 창출 균형
辰월 | 戊 | 진월 무토, 목기 잦아들고 토 왕성 | 甲(소토) | 丙 壬 | 없음 | 무토 진월 왕지, 갑목으로 소토하고 병화 활성화 | 분야를 개척하는 도전적 환경 선호
辰월 | 己 | 진월 기토 | 丙(조후) | 甲 | 壬 癸(과다) | 기토 진월에 병화 활성화, 갑목 소토 | 따뜻한 환경에서 배려 발휘
辰월 | 庚 | 진월 경금, 습토에 묻힐 위험 | 丁(단련) | 壬 甲 | 戊 己(매금) | 경금 진월 습토에 매금 주의, 정화 단련 | 체계적 단련 과정에서 강해짐
辰월 | 辛 | 진월 신금, 습토에 생조 | 壬(세척) | 甲 庚 | 戊 己(매금) | 신금 진월에 임수 세척, 갑목으로 소토 | 지적/창의 환경에서 섬세함 강점
辰월 | 壬 | 진월 임수, 토의 극 | 甲(소토) | 庚 戊 | 戊 己(과다) | 임수 진월에 토극수 주의, 갑목 소토 | 방향성 환경에서 전략 실행
辰월 | 癸 | 진월 계수 | 丙(조후) | 庚 辛 | 戊 己(과다) | 계수 진월에 병화 조후, 금 생수 보조 | 따뜻하고 밝은 환경에서 감성 발현

=== 巳月 (입하, 4월, 초여름) ===
巳월 | 甲 | 사월 화기 시작, 수분 필요 | 癸(조후) | 丁 庚 | 戊(과다) | 갑목 사월에 계수 수분 필수, 화기 시작으로 건조 | 수분같은 적절한 보살핌 환경에서 성장
巳월 | 乙 | 사월 을목, 화기에 마를 위험 | 癸(조후) | 丙 | 庚(극목) | 을목 사월에 계수 수분 가장 중요 | 감성적 지원 환경에서 재능 꽃핌
巳월 | 丙 | 사월 병화 왕기 시작 | 壬(조후) | 庚 甲 | 壬 癸(과다) | 병화 사월에 임수 조절, 화기 강해지므로 제어 필요 | 방향을 잡아주는 환경에서 빛 발함
巳월 | 丁 | 사월 정화, 화기 강해짐 | 甲(생화) | 庚 壬 | 壬 癸(극화) | 정화 사월에 목 생조 + 경금 재성 | 지지 환경 + 성과 구조 필요
巳월 | 戊 | 사월 무토, 화생토로 강해짐 | 甲(소토) | 丙 壬 | 없음 | 무토 사월에 화생토 왕, 갑목 소토 필수 | 능동적 도전 환경에서 강점 발휘
巳월 | 己 | 사월 기토, 화생토 | 癸(조후) | 丙 | 戊(과다) | 기토 사월에 화생토 강, 계수로 윤택하게 | 촉촉한 인간관계 환경에서 배려 발휘
巳월 | 庚 | 사월 경금, 화기에 녹을 위험 | 壬(조후) | 戊 丙 | 丙 丁(과다) | 경금 사월에 화기 강, 임수로 냉각 + 무토 생금 | 균형잡힌 환경에서 실력 발휘
巳월 | 辛 | 사월 신금, 화기에 녹음 위험 | 壬(조후) | 庚 甲 | 丙 丁(과다) | 신금 사월에 화기 위험, 임수 냉각 필수 | 정교한 환경 관리 속에서 섬세함 발현
巳월 | 壬 | 사월 임수, 화기에 증발 위험 | 庚(생수) | 戊 | 丙 丁(과다) | 임수 사월에 화기 강, 경금 생수 + 무토 제방 | 냉정한 사고력 유지되는 환경 필요
巳월 | 癸 | 사월 계수, 화기에 고갈 위험 | 庚(생수) | 辛 | 丙 丁(과다) | 계수 사월에 금생수 매우 중요 | 지적 자양분 환경에서 감성/직관 강화

=== 午月 (하지, 5월, 한여름) ===
午월 | 甲 | 오월 폭염, 갑목 수분 절실 | 癸(조후, 최우선) | 丁 | 戊 己(과다) | 갑목 오월 폭염에 계수 수분 절대 필요 | 안정된 보살핌 없이는 한여름 나무처럼 고사
午월 | 乙 | 오월 을목, 타들어갈 위험 | 癸(조후) | 丙 | 庚 戊(과다) | 을목 오월 계수 수분 최우선 | 섬세한 관심과 지원 환경에서만 재능 개화
午월 | 丙 | 오월 병화 왕지 | 壬(조후) | 庚 甲 | 壬 癸(과다) | 병화 오월 왕지, 임수 제어 필수 | 방향과 제어 있는 환경에서 최고 빛 발함
午월 | 丁 | 오월 정화, 화기 극강 | 壬(조후) | 甲 庚 | 壬 癸(극화) | 정화 오월에 임수 조절 필요 | 강열한 환경에서 재능이 정화되듯 빛남
午월 | 戊 | 오월 무토, 화생토 극강 | 壬(조후) | 甲 | 火(과다) | 무토 오월 화생토 극강, 임수로 윤택하게, 갑목 소토 | 강하게 개척하되 수분같은 균형 필요
午월 | 己 | 오월 기토, 건조 극심 | 癸(조후) | 丙 | 火(과다) | 기토 오월 건조 극심, 계수 윤택 필수 | 촉촉한 인간관계 없이는 딱딱해짐
午월 | 庚 | 오월 경금, 화기에 녹아버림 위험 | 壬(냉각, 최우선) | 戊 | 丙 丁(과다) | 경금 오월 화기 극강, 임수 냉각 절대 필요 | 극한 단련 속에서 진가 발휘, 지나치면 손상
午월 | 辛 | 오월 신금, 화기에 손상 | 壬(조후) | 庚 | 丙 丁(과다) | 신금 오월 임수 냉각 + 경금 생조 | 섬세함이 손상받지 않는 환경 필요
午월 | 壬 | 오월 임수, 화기에 증발 위험 | 庚(생수) | 辛 戊 | 丙 丁(과다) | 임수 오월 화기 극강, 금생수 필수 | 냉철한 판단력 유지 환경 필요
午월 | 癸 | 오월 계수, 고갈 극심 | 庚(생수) | 辛 | 丙 丁(과다) | 계수 오월 금생수 절대 필요 | 지속적 지적 자양분 없이는 소진

=== 未月 (소서, 6월, 늦여름) ===
未월 | 甲 | 미월 건조한 토, 수분 필요 | 癸(조후) | 丁 庚 | 戊 己(과다) | 갑목 미월 건조토, 계수 수분 + 경금 다듬기 | 촉촉한 지원 환경에서 성장
未월 | 乙 | 미월 건조 | 癸(조후) | 丙 | 庚(극목) | 을목 미월 계수 수분 최우선 | 감성적 지원 환경 필수
未월 | 丙 | 미월 화기 아직 강함 | 壬(조후) | 甲 庚 | 壬 癸(과다) | 병화 미월 화기 강, 임수 조절 | 균형 있는 환경 필요
未월 | 丁 | 미월 정화, 미토에 입묘 가능성 | 甲(생화) | 庚 | 壬 癸(극화) | 정화 미월에 갑목 생화 강화 | 지지 기반이 탄탄한 환경에서 빛남
未월 | 戊 | 미월 무토 왕지 | 甲(소토) | 丙 壬 | 土(과다) | 무토 미월 왕지, 갑목 소토 + 임수 윤택 | 역동적 도전 환경에서 강점
未월 | 己 | 미월 기토 왕지, 건조 | 癸(조후) | 丙 | 壬 癸(과다) | 기토 미월 계수 윤택 필수 | 감성적 관계 있을 때 배려 발휘
未월 | 庚 | 미월 경금, 화기 잦아듦 | 丁(단련) | 壬 甲 | 土(과다) | 경금 미월에 정화 단련, 토 많으면 매금 주의 | 방해요소 없는 단련 환경에서 성장
未월 | 辛 | 미월 신금, 토에 묻힐 주의 | 壬(세척) | 庚 甲 | 土(과다) | 신금 미월 임수 세척 + 갑목 소토 | 창의적 환경에서 섬세함 발현
未월 | 壬 | 미월 임수, 토의 극 | 甲(소토) | 庚 | 戊 己(과다) | 임수 미월 토극수, 갑목 소토 + 경금 생수 | 구조와 지원 있을 때 전략 실행
未월 | 癸 | 미월 계수, 건조 극심 | 庚(생수) | 辛 | 戊 己(과다) | 계수 미월 금생수 + 병화 조후 | 지속적 지원 환경 필수

=== 申月 (입추, 7월, 초가을) ===
申월 | 甲 | 신월 경금 기운, 갑목이 베어짐 위험 | 丁(조후) | 庚 壬 | 庚(과다) | 갑목 신월에 경금 강, 정화 보호 + 경금 균형 | 경쟁/도전 환경에서 오히려 강해지는 유형
申월 | 乙 | 신월 금기 강, 화초 상할 위험 | 丙(조후) | 癸 | 庚(극목과다) | 을목 신월에 병화 보호 | 따뜻한 보호 환경에서 성장
申월 | 丙 | 신월 병화, 화기 약해짐 | 壬(조후) | 甲 | 壬 癸(과다) | 병화 신월에 임수 조절, 갑목 생조 | 지원 환경 있을 때 빛 유지
申월 | 丁 | 신월 정화, 금기 강하여 약해짐 | 甲(생화) | 庚 | 壬 癸(극화) | 정화 신월에 갑목 생화 + 경금 재성 | 멘토/지지 환경 + 성과 구조 필요
申월 | 戊 | 신월 무토, 금으로 설기 | 丙(생토) | 甲 | 壬(과다) | 무토 신월에 병화 생토 + 갑목 소토 | 능동적 환경에서 책임 발휘
申월 | 己 | 신월 기토, 금으로 설기 | 丙(조후) | 甲 | 壬 癸(과다) | 기토 신월에 병화 활성화 | 따뜻한 환경에서 배려 강점
申월 | 庚 | 신월 경금 왕지 | 丁(단련) | 甲 壬 | 土(생금과다) | 경금 신월 왕지, 정화 단련 필수 | 강한 단련 환경에서 진가 발휘
申월 | 辛 | 신월 신금, 경금 왕기에 눌림 | 壬(세척) | 甲 | 土(매금) | 신금 신월에 임수 세척, 왕금 속에서 빛내야 | 독창적 환경에서 섬세함 차별화
申월 | 壬 | 신월 임수 장생, 금생수 | 戊(제방) | 丙 庚 | 壬 癸(과다) | 임수 신월 장생지, 무토 제방으로 방향 설정 | 체계와 방향 있을 때 역량 극대화
申월 | 癸 | 신월 계수, 금생수로 강해짐 | 丙(조후) | 庚 辛 | 壬(과다) | 계수 신월 금생수 강, 병화 조후 | 따뜻한 방향 있을 때 직관 발휘

=== 酉月 (추분, 8월, 한가을) ===
酉월 | 甲 | 유월 금기 왕, 갑목 상할 위험 | 丁(보호) | 庚 壬 | 庚(과다) | 갑목 유월에 정화 보호 | 보호받는 환경에서 강점 발휘
酉월 | 乙 | 유월 을목, 금의 극 심함 | 丙(보호) | 癸 | 庚 辛(극목) | 을목 유월 금극목 심, 병화 보호 | 강한 보호 환경 필수
酉월 | 丙 | 유월 병화, 화기 약해짐 | 壬(조후) | 甲 | 壬 癸(과다) | 병화 유월 화기 쇠, 갑목 생조 | 에너지 보충 환경에서 빛 유지
酉월 | 丁 | 유월 정화, 금이 화를 극 | 甲(생화) | 甲 壬 | 壬 癸(극화) | 정화 유월 금기 강, 갑목 생화 필수 | 강한 지지 환경에서만 빛남
酉월 | 戊 | 유월 무토, 금으로 설기 | 丙(생토) | 甲 壬 | 壬(과다) | 무토 유월 금설기, 병화 생토 보강 | 활성화 환경에서 책임 발휘
酉월 | 己 | 유월 기토, 금설기 | 丙(생토) | 甲 | 壬 癸(과다) | 기토 유월 병화 생토 | 따뜻한 환경에서 배려 발동
酉월 | 庚 | 유월 경금 왕지, 예리함 극대 | 丁(단련) | 甲 壬 | 土(과다) | 경금 유월 왕지, 정화 단련으로 진가 발휘 | 단련 과정을 즐기는 환경에서 최고 성취
酉월 | 辛 | 유월 신금 왕지 | 壬(세척) | 甲 | 土(매금) | 신금 유월 왕지, 임수 세척으로 빛남 | 세련된 환경에서 섬세함 극대화
酉월 | 壬 | 유월 임수, 금생수 강 | 戊(제방) | 丙 甲 | 金(과다) | 임수 유월 금생수 강, 무토 제방 + 병화 조후 | 방향과 체계 있을 때 전략 실행
酉월 | 癸 | 유월 계수, 금생수 | 丙(조후) | 庚 辛 | 없음 | 계수 유월 금생수, 병화 조후 | 따뜻한 방향 있을 때 직관/감성 발휘

=== 戌月 (한로, 9월, 늦가을) ===
戌월 | 甲 | 술월 건토, 갑목 수분 필요 | 壬(조후) | 甲 庚 | 戊(과다) | 갑목 술월 건토, 임수 수분 + 경금 다듬기 | 방향성 + 단련 환경에서 강점
戌월 | 乙 | 술월 건조 | 壬(조후) | 丙 | 庚(극목) | 을목 술월 임수 수분 필요 | 지원 환경에서 성장
戌월 | 丙 | 술월 병화, 화기 많이 약해짐 | 甲(생화) | 壬 | 壬 癸(과다) | 병화 술월 화기 쇠, 갑목 생조 | 에너지 공급 환경에서 빛 유지
戌월 | 丁 | 술월 정화, 토에 입묘 우려 | 甲(생화) | 庚 | 壬 癸(극화) | 정화 술월에 입묘 가능, 갑목 생화 긴급 | 지지 환경 절대 필요
戌월 | 戊 | 술월 무토 왕지 | 甲(소토) | 丙 壬 | 土(과다) | 무토 술월 왕지, 갑목 소토 + 임수 윤택 | 역동적 도전으로 강함 발휘
戌월 | 己 | 술월 기토 | 丙(생토) | 甲 | 壬(과다) | 기토 술월에 병화 + 갑목 소토 | 활성화 환경에서 배려 강점
戌월 | 庚 | 술월 경금, 토에 묻힐 주의 | 丁(단련) | 甲 壬 | 戊 己(과다) | 경금 술월 토다 매금 주의, 정화 단련 | 방해 없는 단련 환경 필요
戌월 | 辛 | 술월 신금, 토에 매금 위험 | 壬(세척) | 甲 | 戊 己(매금) | 신금 술월 매금 주의, 임수 세척 + 갑목 소토 | 묻히지 않는 환경에서 섬세함 발현
戌월 | 壬 | 술월 임수, 토의 극 | 甲(소토) | 庚 | 戊 己(과다) | 임수 술월 토극수, 갑목 소토 + 경금 생수 | 방향 있는 환경에서 전략 실행
戌월 | 癸 | 술월 계수, 건토 환경 | 辛(생수) | 丙 | 戊 己(과다) | 계수 술월 신금 생수 | 지적 자양분 환경 필요

=== 亥月 (입동, 10월, 초겨울) ===
亥월 | 甲 | 해월 수기 왕, 갑목 수분 과다 위험 | 丙(조후) | 庚 壬 | 壬 癸(과다) | 갑목 해월에 병화 따뜻하게, 경금 다듬기 | 따뜻한 방향 환경에서 개척 기질 발휘
亥월 | 乙 | 해월 수기 왕, 을목 수분 과다 | 丙(조후) | 戊 | 壬 癸(과다) | 을목 해월 병화 조후 + 무토 습기 제거 | 온기 있는 환경에서 유연한 성장
亥월 | 丙 | 해월 병화, 수기에 약해짐 | 甲(생화) | 戊 | 壬 癸(과다) | 병화 해월 수기에 약, 갑목 생조 | 에너지 공급 환경에서 빛 발함
亥월 | 丁 | 해월 정화, 수기에 꺼질 위험 | 甲(생화) | 庚 | 壬 癸(극화) | 정화 해월에 갑목 생화 긴급 | 든든한 지지 환경 절대 필요
亥월 | 戊 | 해월 무토, 수기 강 | 甲(소토) | 丙 丁 | 壬 癸(과다) | 무토 해월 수기 강, 갑목 소토 + 화기 활성 | 도전적이고 활성화된 환경 선호
亥월 | 己 | 해월 기토, 수기에 무너짐 위험 | 丙(생토) | 甲 | 壬 癸(과다) | 기토 해월 병화 생토, 갑목 소토 | 따뜻한 지지 환경에서 배려 발휘
亥월 | 庚 | 해월 경금, 한기 시작 | 丁(단련) | 丙 甲 | 壬 癸(과다) | 경금 해월 한기, 정화 단련 | 목표 있는 단련 환경에서 성장
亥월 | 辛 | 해월 신금, 수기 왕 | 壬(세척) | 甲 丙 | 壬 癸(과다) | 신금 해월 임수 왕, 세척 좋음 | 창의적이고 지적 환경에서 섬세함 강점
亥월 | 壬 | 해월 임수 왕지 | 戊(제방) | 丙 甲 | 壬 癸(과다) | 임수 해월 왕지, 무토 제방 필수 | 방향과 체계 있을 때 전략 실행
亥월 | 癸 | 해월 계수, 수기 왕성 | 丙(조후) | 辛 庚 | 壬 癸(과다) | 계수 해월 왕기, 병화 조후 + 금생수 보조 | 따뜻한 방향과 지지 환경에서 감성/직관 발휘

=== 조후 용신 핵심 원칙 ===
1. 한냉 계절(亥子丑寅) — 병화·정화 조후 용신 최우선
2. 조열 계절(巳午未申) — 임수·계수 조후 용신 최우선
3. 목 일간 — 수분(水)과 햇살(火)의 균형
4. 화 일간 — 물(水)로 조절, 목(木)으로 생조
5. 토 일간 — 갑목 소토, 병화 활성화가 핵심
6. 금 일간 — 정화 단련(경금), 임수 세척(신금)
7. 수 일간 — 무토 제방, 병화 조후
8. 월지 용신은 "삶의 기본 환경 조건" — 이 조건이 갖춰져야 능력 발휘
9. 용신 오행이 강한 대운 = 성취기, 기신 오행 대운 = 시련기
